ILOC_CODE_2016,IAD_HHs_with_Ind_p,IAD_Oth_households,IAD_Tot_households,INAD_HHs_with_Ind_p,INAD_Oth_households,INAD_Tot_households,IA_NS_Indig_per,IA_NS_Oth_households,IA_NS_Tot_households,Tot_Hholds_w_Indig_per,Tot_Oth_households,Tot_Tot_households
ILOC20102001,566,44556,45115,98,5514,5609,20,1092,1113,677,51164,51840
ILOC20200101,595,32133,32728,159,6734,6892,26,1092,1126,783,39963,40741
ILOC20200201,180,14279,14456,48,2903,2954,10,471,488,241,17654,17897
ILOC20200301,86,3400,3483,15,514,532,0,104,104,99,4018,4118
ILOC20200302,134,4338,4468,34,1173,1207,8,201,209,175,5714,5885
ILOC20200303,101,7072,7175,22,1071,1091,8,225,231,129,8371,8499
ILOC20200304,122,3268,3387,32,1020,1051,10,134,145,164,4417,4577
ILOC20200305,117,7130,7243,25,1472,1496,7,221,230,147,8821,8974
ILOC20200306,156,7223,7380,38,1600,1640,9,255,267,208,9081,9287
ILOC20200401,68,3002,3066,25,953,972,3,130,132,86,4087,4174
ILOC20200402,141,3679,3815,71,994,1060,11,184,199,218,4852,5075
ILOC20200403,75,3359,3430,32,983,1012,3,130,135,104,4468,4576
ILOC20200404,189,7771,7962,62,2481,2545,21,371,389,272,10625,10899
ILOC20200405,673,16819,17495,237,4087,4327,56,723,776,964,21635,22600
ILOC20200501,302,18745,19043,106,6061,6160,27,850,877,430,25652,26083
ILOC20200601,970,70446,71412,210,14233,14440,39,2286,2327,1213,86960,88173
ILOC20200701,147,4000,4148,77,1122,1201,10,225,237,242,5348,5587
ILOC20200702,205,8794,9002,107,2524,2634,26,364,388,337,11683,12017
ILOC20200703,0,0,0,5,0,5,0,0,0,5,0,5
ILOC20200704,222,12250,12476,71,3025,3101,17,442,455,309,15720,16030
ILOC20200801,129,5877,6006,42,1764,1808,7,271,281,183,7920,8101
ILOC20200802,112,3791,3910,38,1446,1487,6,206,219,165,5449,5613
ILOC20200803,189,11429,11618,45,2070,2115,3,391,396,238,13897,14133
ILOC20200901,125,13540,13660,25,1699,1727,10,341,351,154,15584,15738
ILOC20200902,148,9072,9220,24,1601,1628,5,286,296,181,10961,11143
ILOC20201001,604,14053,14659,251,4179,4430,37,689,733,890,18921,19817
ILOC20201101,134,10113,10246,25,2553,2572,6,390,399,167,13052,13217
ILOC20201102,101,8400,8504,27,2025,2056,3,317,319,138,10740,10879
ILOC20201201,311,25081,25390,69,5086,5152,16,800,817,390,30971,31363
ILOC20201202,3,0,3,0,0,0,0,0,0,6,0,6
ILOC20201203,145,9478,9631,48,2840,2889,5,381,390,199,12704,12906
ILOC20201301,67,2379,2445,28,823,852,3,117,122,96,3320,3416
ILOC20201302,92,3109,3197,37,849,886,5,136,135,134,4089,4220
ILOC20201303,91,4695,4782,28,1366,1391,10,167,176,127,6225,6353
ILOC20201401,113,2535,2647,33,840,876,15,135,147,160,3506,3667
ILOC20201402,47,648,695,42,300,348,12,61,70,102,1012,1111
ILOC20201403,63,1722,1782,12,557,570,3,67,70,78,2341,2422
ILOC20201501,58,2782,2837,26,946,970,4,140,141,88,3861,3945
ILOC20201502,168,10855,11031,53,2728,2781,3,536,540,223,14119,14350
ILOC20201601,249,11047,11298,45,1991,2036,15,350,369,306,13392,13701
ILOC20201701,206,9745,9954,50,2366,2420,14,369,379,268,12485,12751
ILOC20201801,236,13622,13859,86,4478,4563,19,547,573,344,18647,18991
ILOC20201901,139,10158,10300,47,2399,2449,12,375,382,202,12930,13136
ILOC20201902,143,8155,8298,46,2270,2314,4,357,360,198,10779,10980
ILOC20201903,346,11257,11606,78,2211,2287,23,347,367,448,13815,14260
ILOC29499494,0,0,0,0,0,0,0,0,0,0,0,0
ILOC29799797,0,0,0,0,0,0,0,0,0,0,0,0
ILOC30100101,391,10932,11327,117,2254,2369,20,333,349,527,13515,14043
ILOC30100201,605,34019,34622,85,3461,3546,22,804,824,715,38287,38999
ILOC30100202,370,26012,26387,71,2343,2411,24,848,876,461,29201,29666
ILOC30100203,1006,61693,62699,174,5939,6116,52,1634,1686,1230,69261,70496
ILOC30100204,183,13087,13266,54,1445,1499,9,442,448,250,14963,15219
ILOC30100205,464,27790,28258,90,3168,3265,28,697,723,587,31661,32245
ILOC30100206,714,23358,24071,135,2792,2928,39,731,774,891,26875,27771
ILOC30100207,1711,64303,66011,276,8414,8684,74,1651,1724,2059,74361,76425
ILOC30100208,976,54891,55873,161,5605,5767,44,1701,1743,1180,62198,63384
ILOC30100209,426,31416,31842,57,2188,2245,14,537,553,501,34148,34643
ILOC30100210,214,3691,3906,150,1260,1411,16,235,254,386,5189,5572
ILOC30100211,255,8510,8757,49,776,823,8,222,222,308,9502,9807
ILOC30100301,2345,46627,48976,463,7982,8446,103,1421,1530,2916,56032,58952
ILOC30100401,901,34915,35820,156,5353,5509,32,881,915,1090,41151,42248
ILOC30100501,309,6273,6588,79,1654,1735,18,238,260,413,8165,8578
ILOC30100601,207,4717,4928,47,1158,1207,11,200,207,265,6075,6339
ILOC30100602,293,4753,5044,79,1136,1212,13,271,280,383,6151,6539
ILOC30100701,3966,166287,170250,560,22250,22814,171,5432,5599,4699,193973,198668
ILOC30100801,2872,50410,53283,607,8142,8752,126,1437,1564,3600,59994,63595
ILOC30100901,352,8317,8673,44,894,940,11,180,196,408,9398,9806
ILOC30100902,243,2965,3208,86,775,860,14,116,134,347,3859,4200
ILOC30100903,2100,54847,56952,319,7167,7489,92,1565,1662,2515,63586,66099
ILOC30100904,151,2549,2693,35,388,424,5,96,99,192,3025,3217
ILOC30100905,379,6086,6470,70,1011,1078,16,221,244,472,7319,7792
ILOC30100906,238,4126,4367,113,1354,1470,23,253,273,376,5731,6110
ILOC30101001,1503,55956,57465,220,7287,7509,50,1650,1700,1777,64900,66672
ILOC30101101,340,16652,16988,47,2262,2306,8,515,519,390,19425,19816
ILOC30101201,1168,31624,32800,173,3570,3741,35,671,708,1381,35870,37251
ILOC30101202,491,25547,26045,20,1402,1425,13,372,384,532,27324,27852
ILOC30101301,677,18161,18845,161,4029,4190,20,562,583,862,22752,23611
ILOC30101401,1342,44197,45540,237,5513,5745,46,1117,1165,1621,50830,52446
ILOC30200101,224,3385,3607,107,899,1012,15,147,160,343,4427,4775
ILOC30200201,425,7446,7872,81,710,792,21,185,203,522,8338,8863
ILOC30200202,131,3009,3142,127,586,712,15,159,173,272,3753,4032
ILOC30200203,289,7014,7302,43,697,734,9,161,166,333,7872,8205
ILOC30200204,244,4007,4250,101,614,713,24,194,214,363,4818,5181
ILOC30200205,365,3477,3843,138,451,588,27,92,117,533,4022,4553
ILOC30200206,554,4136,4686,189,575,759,30,125,155,766,4836,5606
ILOC30200207,196,1437,1637,67,254,326,4,39,43,274,1738,2008
ILOC30200208,728,5411,6141,663,1552,2208,112,308,418,1497,7265,8769
ILOC30200209,175,4004,4184,44,465,509,6,115,119,223,4591,4814
ILOC30200210,162,1151,1317,110,311,426,20,52,75,295,1522,1813
ILOC30200301,53,337,385,55,95,150,10,11,24,109,447,553
ILOC30200302,114,2591,2706,59,435,497,14,110,119,183,3137,3320
ILOC30200303,14,0,14,11,0,11,4,0,4,28,0,28
ILOC30200401,99,1428,1529,47,305,358,7,61,67,160,1792,1953
ILOC30200501,83,2007,2092,34,412,446,0,59,64,120,2480,2603
ILOC30200601,19,236,257,10,52,67,4,8,14,36,299,333
ILOC30200602,68,830,896,42,273,316,3,52,57,118,1153,1270
ILOC30200603,19,26,43,18,21,35,0,3,3,31,48,80
ILOC30200604,21,183,210,20,87,110,3,20,18,49,294,338
ILOC30200701,319,1756,2073,152,687,832,26,87,115,496,2526,3022
ILOC30200702,199,2853,3053,71,718,790,8,106,112,281,3677,3956
ILOC30200801,195,3368,3564,118,808,923,7,183,198,325,4361,4682
ILOC30200803,23,94,114,26,18,49,0,5,5,51,117,164
ILOC30200901,202,1756,1957,194,699,890,26,93,116,417,2543,2958
ILOC30201001,4,174,173,6,71,80,0,18,21,12,255,273
ILOC30201002,43,6,49,24,0,25,0,0,0,66,7,78
ILOC30201101,210,14,224,235,4,233,8,0,8,450,15,465
ILOC30300101,144,24,164,69,14,85,4,4,7,221,39,259
ILOC30300201,35,330,367,31,160,188,9,60,70,75,549,620
ILOC30300202,32,10,44,19,3,22,0,5,5,58,18,73
ILOC30300203,8,9,16,14,3,17,3,3,6,24,13,36
ILOC30300301,62,433,489,37,112,146,6,24,25,99,561,664
ILOC30300401,168,14,175,60,7,69,5,0,5,228,16,245
ILOC30300501,160,26,183,55,3,56,3,0,4,217,27,241
ILOC30300601,49,21,68,75,8,80,7,4,11,130,31,160
ILOC30300701,40,5,48,26,5,29,3,0,3,71,14,84
ILOC30300702,106,4,111,116,3,124,4,0,3,228,6,236
ILOC30300703,177,821,998,45,67,107,9,29,37,231,920,1148
ILOC30300801,199,52,256,27,7,33,8,15,24,234,77,310
ILOC30300802,51,4,57,51,3,54,0,0,3,102,9,113
ILOC30300803,85,5,91,3,0,5,0,9,9,84,15,100
ILOC30300804,37,13,52,13,3,18,3,8,9,55,26,74
ILOC30300805,57,5,63,21,5,26,0,0,0,80,11,91
ILOC30300901,103,34,138,69,7,81,0,3,3,175,45,218
ILOC30400101,11,73,81,28,15,40,0,9,15,37,96,135
ILOC30400102,10,53,65,5,3,8,3,11,13,24,61,86
ILOC30400103,36,282,316,16,109,132,5,16,19,58,416,469
ILOC30400201,34,212,248,29,83,117,3,19,25,67,320,387
ILOC30400202,139,8,148,101,0,101,3,25,27,236,30,268
ILOC30400203,87,39,129,107,10,124,5,3,8,203,58,261
ILOC30400204,79,112,190,112,28,146,12,10,18,204,148,354
ILOC30400301,135,713,854,122,167,290,9,40,49,275,916,1193
ILOC30400401,9,19,23,6,4,15,3,5,15,21,25,44
ILOC30400402,699,4134,4830,347,641,988,53,154,208,1106,4929,6033
ILOC30500101,101,1775,1876,39,503,544,4,85,95,146,2363,2516
ILOC30500102,14,359,374,3,110,113,0,17,17,15,487,502
ILOC30500103,78,1480,1556,34,285,320,8,64,69,122,1837,1954
ILOC30500201,50,756,810,16,228,248,0,34,34,72,1024,1096
ILOC30500202,31,498,530,14,185,201,0,34,34,48,715,761
ILOC30500203,59,982,1046,23,251,272,3,41,46,86,1275,1366
ILOC30500301,775,12952,13724,254,4050,4306,41,547,592,1072,17548,18622
ILOC30500302,458,12672,13130,122,2885,3007,18,466,482,601,16021,16619
ILOC30500401,84,1034,1118,32,143,173,4,28,35,117,1210,1329
ILOC30500402,100,2403,2505,51,639,694,10,125,130,167,3170,3333
ILOC30500403,169,3538,3707,42,391,434,10,96,106,220,4024,4248
ILOC30500404,83,6,85,143,3,146,13,0,13,236,13,245
ILOC30500501,445,9138,9579,69,1850,1915,19,323,347,528,11312,11842
ILOC30500502,674,13812,14485,182,3397,3583,26,563,586,880,17767,18648
ILOC30500503,339,5806,6141,120,1970,2082,15,280,294,473,8052,8521
ILOC30500601,540,9580,10125,158,1529,1687,16,241,254,713,11350,12064
ILOC30500602,71,1723,1790,21,426,446,6,67,70,94,2217,2307
ILOC30500603,275,5765,6047,42,767,804,11,147,154,323,6679,7004
ILOC30500701,36,553,588,8,71,75,4,17,22,43,644,683
ILOC30500702,134,2161,2297,5,187,194,6,45,52,151,2394,2540
ILOC30500703,97,2285,2387,24,433,459,4,108,115,127,2832,2957
ILOC30500801,35,59,94,25,37,60,3,3,7,70,96,162
ILOC30500802,41,386,427,23,162,187,5,23,27,65,570,641
ILOC30500803,112,1957,2066,45,851,899,13,136,149,169,2946,3114
ILOC30500901,285,2689,2971,67,433,498,10,80,86,358,3196,3556
ILOC30500902,113,637,748,56,374,433,4,31,36,177,1038,1219
ILOC30500903,1173,15549,16718,474,3839,4320,73,593,671,1718,19985,21705
ILOC30500904,258,5453,5713,66,1010,1083,15,272,289,347,6743,7087
ILOC30500905,82,1382,1464,18,348,367,0,60,63,99,1789,1894
ILOC30500906,208,4255,4467,67,896,959,13,126,138,287,5283,5568
ILOC30600101,32,396,424,16,99,106,5,22,26,53,511,564
ILOC30600102,11,69,82,13,38,49,0,11,7,26,118,141
ILOC30600103,108,461,567,87,145,229,9,31,32,198,635,835
ILOC30600201,56,323,375,26,121,151,5,23,30,89,468,557
ILOC30600301,95,0,99,182,0,182,0,0,0,280,0,281
ILOC30600401,293,7368,7661,72,1644,1722,20,266,284,382,9283,9666
ILOC30600402,280,5326,5607,75,1613,1689,13,203,212,373,7143,7512
ILOC30600501,201,2328,2531,82,668,751,14,74,92,295,3077,3370
ILOC30600601,69,1402,1469,31,459,489,5,54,54,101,1912,2019
ILOC30600602,93,1187,1281,41,381,424,11,55,67,139,1629,1771
ILOC30600603,121,3057,3174,37,993,1033,5,116,119,161,4162,4324
ILOC30600701,42,1136,1177,8,202,214,5,25,35,63,1366,1424
ILOC30600702,109,995,1101,40,313,353,9,48,56,151,1355,1513
ILOC30600801,62,1219,1281,34,381,420,9,48,57,107,1648,1754
ILOC30600802,18,172,191,23,78,98,0,15,15,35,262,302
ILOC30600803,169,1649,1817,75,409,486,11,73,79,259,2125,2381
ILOC30600901,101,740,838,62,273,336,8,36,43,170,1043,1215
ILOC30601001,139,994,1131,74,339,415,13,53,68,223,1387,1611
ILOC30601101,169,3601,3770,93,1217,1308,6,169,182,269,4983,5254
ILOC30601201,64,317,386,103,123,228,6,20,30,174,469,647
ILOC30601301,179,3968,4148,49,963,1009,11,134,144,239,5067,5305
ILOC30601302,69,1293,1362,38,486,521,4,69,72,104,1849,1955
ILOC30601401,240,3679,3915,94,1191,1285,11,142,156,343,5010,5355
ILOC30601402,128,2697,2823,36,729,763,11,111,125,169,3530,3707
ILOC30601501,1382,29800,31179,416,6378,6794,69,960,1026,1866,37135,39001
ILOC30601601,143,4737,4882,20,635,654,3,104,114,171,5482,5653
ILOC30601602,177,3001,3180,26,618,645,3,79,82,209,3701,3911
ILOC30601701,112,3186,3298,21,481,500,7,82,93,141,3750,3895
ILOC30601702,52,774,823,22,287,315,3,32,35,76,1095,1172
ILOC30601703,44,1191,1227,7,330,340,5,45,52,53,1563,1617
ILOC30601801,127,1966,2089,46,489,532,9,80,90,177,2533,2713
ILOC30601802,57,945,998,25,289,313,0,42,41,85,1273,1355
ILOC30601803,74,844,922,44,382,429,3,39,40,123,1262,1388
ILOC30601804,93,1863,1952,19,489,507,7,54,63,116,2402,2523
ILOC30700101,47,0,47,5,0,5,0,0,0,56,0,57
ILOC30700102,53,21,79,20,9,22,15,19,42,93,52,141
ILOC30700103,13,3,17,0,4,5,12,5,13,24,12,32
ILOC30700104,174,190,358,96,10,108,49,19,66,316,218,532
ILOC30700105,92,18,114,48,3,50,18,5,23,157,24,185
ILOC30700201,3,0,7,44,0,42,0,3,3,48,4,55
ILOC30700202,18,0,18,13,0,13,9,0,9,36,0,34
ILOC30700203,60,8,68,11,0,11,0,0,0,72,11,81
ILOC30700301,145,19,164,33,4,40,3,0,4,177,25,202
ILOC30700302,20,0,20,25,0,28,0,0,0,49,0,54
ILOC30700303,12,0,9,31,0,31,0,0,0,43,0,47
ILOC30700304,46,0,44,13,0,13,0,0,0,62,0,58
ILOC30700401,49,0,54,4,0,4,0,0,0,58,0,63
ILOC30700402,23,0,23,25,0,27,0,0,0,46,3,49
ILOC30700403,11,0,14,43,0,45,0,0,0,48,0,51
ILOC30700404,52,3,56,0,0,0,0,0,0,58,3,57
ILOC30700501,52,3,51,14,0,14,13,0,13,72,3,74
ILOC30700502,68,4,75,9,0,9,0,0,3,81,10,86
ILOC30700503,13,0,13,3,0,3,0,0,0,20,0,20
ILOC30800101,326,2920,3238,124,983,1103,21,164,184,473,4059,4533
ILOC30800201,134,2092,2223,113,790,901,14,109,118,253,2995,3247
ILOC30800202,98,2337,2437,47,697,742,13,78,88,154,3110,3267
ILOC30800301,160,1821,1983,126,651,777,18,81,99,305,2557,2856
ILOC30800401,98,1483,1577,55,463,520,3,81,82,152,2028,2178
ILOC30800501,61,1819,1883,23,570,594,4,72,73,89,2465,2553
ILOC30800502,59,1048,1113,64,469,538,9,55,68,138,1579,1714
ILOC30800601,1399,22649,24044,443,4134,4582,86,732,818,1921,27517,29436
ILOC30800701,150,3377,3525,40,706,744,8,143,152,197,4225,4418
ILOC30800801,108,2133,2237,33,441,470,3,79,80,136,2656,2791
ILOC30800901,261,19,275,194,3,194,6,3,9,455,24,483
ILOC30801001,210,5210,5421,68,926,993,14,297,313,290,6430,6722
ILOC30801101,199,2897,3094,73,669,741,24,161,185,289,3728,4018
ILOC30801201,1630,19465,21089,476,2307,2783,99,488,583,2203,22257,24458
ILOC30801301,1621,27962,29589,683,4955,5634,96,818,917,2405,33737,36137
ILOC30801401,96,1767,1857,27,352,373,11,50,60,126,2162,2296
ILOC30801402,76,2105,2183,19,432,454,3,93,95,99,2631,2731
ILOC30801501,111,2040,2145,52,519,570,6,93,104,171,2645,2816
ILOC30801502,9,9,15,23,0,21,0,0,0,28,5,39
ILOC30801503,60,476,529,36,190,226,9,27,33,100,696,789
ILOC39499494,0,0,0,0,0,0,0,0,0,0,0,0
ILOC39799797,0,0,0,0,0,0,0,0,0,0,0,0
ILOC40100101,59,7469,7528,21,855,878,7,269,278,85,8592,8678
ILOC40100102,97,8981,9081,34,1361,1388,4,225,229,128,10565,10697
ILOC40100201,83,11642,11731,8,1259,1268,3,188,192,95,13094,13190
ILOC40100202,148,10379,10531,18,1381,1402,7,202,210,174,11962,12139
ILOC40100301,220,13132,13349,43,2545,2594,10,292,304,272,15972,16246
ILOC40100401,52,1116,1166,30,371,401,3,57,63,84,1544,1630
ILOC40100402,77,1800,1875,47,525,578,15,99,110,133,2433,2564
ILOC40100501,125,15713,15842,28,3445,3477,3,410,412,156,19568,19729
ILOC40100502,88,12032,12122,30,2341,2371,3,313,310,128,14686,14808
ILOC40100601,136,10493,10630,39,2032,2073,6,294,304,183,12819,13001
ILOC40100602,101,6948,7049,36,1816,1855,4,233,240,147,8999,9145
ILOC40100603,143,7562,7700,38,2327,2373,7,247,255,187,10139,10324
ILOC40100604,182,9060,9241,81,2204,2290,19,293,313,288,11562,11848
ILOC40100701,274,16024,16300,71,3571,3646,17,473,490,368,20062,20431
ILOC40100801,141,7676,7818,43,1699,1738,3,206,209,190,9580,9766
ILOC40100901,124,12181,12308,18,2214,2235,8,327,329,151,14721,14872
ILOC40100902,230,18366,18597,47,4089,4137,14,543,558,285,22996,23281
ILOC40101001,86,3115,3204,30,962,998,5,121,124,127,4197,4324
ILOC40101002,64,2586,2647,29,894,925,0,103,101,93,3579,3674
ILOC40101101,175,12126,12303,57,2673,2733,16,358,372,257,15148,15401
ILOC40101102,119,9194,9313,46,2224,2269,8,280,285,176,11695,11869
ILOC40101103,98,7173,7266,5,598,608,0,127,124,107,7897,8001
ILOC40101201,263,5566,5832,109,1783,1891,23,212,235,398,7566,7960
ILOC40101301,25,199,219,12,101,114,0,13,13,37,307,348
ILOC40101302,64,2088,2144,26,650,677,0,68,74,89,2803,2897
ILOC40101303,17,0,18,3,0,3,5,0,5,26,0,24
ILOC40101401,505,30969,31469,131,4672,4806,25,667,696,659,36308,36963
ILOC40101402,189,5794,5981,63,1556,1615,7,229,236,262,7571,7838
ILOC40101403,288,15472,15762,33,2050,2080,18,361,381,339,17887,18225
ILOC40101501,257,4492,4741,69,1162,1232,10,192,200,334,5843,6177
ILOC40101502,227,7861,8090,41,1002,1037,7,189,191,273,9050,9320
ILOC40101503,362,6633,6993,182,2820,3002,31,391,419,571,9845,10420
ILOC40101504,165,4754,4921,36,890,934,8,118,128,211,5766,5979
ILOC40101601,281,9124,9405,83,2117,2200,10,234,237,374,11470,11842
ILOC40101602,170,12270,12441,65,2279,2341,21,321,347,263,14863,15128
ILOC40101603,136,6302,6433,67,1803,1870,8,253,261,208,8355,8565
ILOC40101604,104,4574,4675,47,1589,1636,4,221,227,160,6380,6539
ILOC40101605,116,3213,3330,51,1078,1134,12,110,123,182,4401,4584
ILOC40101701,78,2548,2624,32,838,868,0,128,129,104,3521,3627
ILOC40101801,215,8236,8451,86,2222,2314,16,326,345,321,10787,11112
ILOC40101802,149,6520,6673,44,1363,1405,7,166,172,192,8049,8243
ILOC40101803,227,10615,10834,61,2311,2373,27,298,326,309,13222,13538
ILOC40101804,353,13483,13835,88,2116,2206,15,330,348,459,15931,16389
ILOC40101901,222,10768,10987,70,2948,3017,9,325,333,301,14044,14341
ILOC40101902,218,7492,7710,56,2246,2306,13,254,269,289,9994,10282
ILOC40102001,414,31097,31508,64,4317,4377,16,645,661,490,36057,36544
ILOC40102101,60,14611,14673,16,1804,1818,0,286,289,71,16704,16778
ILOC40102102,161,20595,20751,23,2557,2582,7,461,471,197,23608,23807
ILOC40102103,83,12664,12746,13,1709,1724,5,266,265,96,14640,14738
ILOC40102201,110,4621,4729,24,1204,1229,5,141,148,133,5970,6110
ILOC40102301,146,4732,4879,51,1692,1742,11,159,172,207,6586,6800
ILOC40102302,10,84,94,19,14,35,3,3,9,36,98,132
ILOC40102303,68,3183,3252,35,1130,1164,5,96,98,101,4407,4507
ILOC40200101,5,10,16,59,0,63,0,4,8,71,17,85
ILOC40200102,4,0,6,10,3,9,0,0,0,14,6,15
ILOC40200103,8,17,23,27,7,40,0,0,0,40,28,64
ILOC40200104,0,0,3,9,0,13,0,0,0,13,3,12
ILOC40200105,14,25,35,39,3,43,0,3,6,55,27,86
ILOC40200106,0,3,3,20,0,20,0,0,0,20,3,18
ILOC40200107,3,11,20,40,6,42,0,0,0,41,13,59
ILOC40200108,0,12,12,23,0,23,0,0,0,23,12,38
ILOC40200109,32,29,61,45,0,46,0,0,3,81,29,107
ILOC40200110,0,0,0,0,0,0,0,0,0,0,0,0
ILOC40200201,36,382,415,41,179,219,4,39,41,86,596,682
ILOC40200202,0,0,0,8,0,8,0,0,0,11,0,11
ILOC40200301,10,6,19,23,6,23,0,0,0,31,12,43
ILOC40200302,3,0,4,18,0,21,0,0,0,21,4,29
ILOC40200303,18,355,373,28,165,188,3,48,50,50,560,612
ILOC40200304,9,69,82,8,16,32,0,0,0,22,90,108
ILOC40200305,45,1034,1076,6,74,76,0,24,25,52,1131,1177
ILOC40200401,295,8796,9089,154,3232,3391,21,319,338,471,12342,12817
ILOC40200402,30,308,336,32,109,146,3,16,16,61,435,494
ILOC40200501,9,0,9,24,0,24,0,0,0,32,0,32
ILOC40200502,256,1404,1654,211,601,806,27,73,105,491,2070,2561
ILOC40200503,15,234,251,5,67,67,3,8,7,23,305,330
ILOC40200504,129,848,976,104,236,338,23,38,53,247,1119,1371
ILOC40200505,70,524,594,18,101,122,0,12,21,92,637,734
ILOC40200601,255,6114,6372,169,2109,2281,22,253,275,446,8478,8925
ILOC40300101,74,505,575,63,144,209,3,25,29,141,671,814
ILOC40300102,14,0,14,21,0,21,9,0,9,44,0,44
ILOC40300103,26,69,98,11,7,21,7,0,14,52,76,129
ILOC40300104,17,171,193,3,47,51,11,7,24,35,231,264
ILOC40300201,98,4675,4778,39,1212,1254,5,150,150,140,6035,6178
ILOC40300202,0,3,3,12,0,12,0,0,0,12,3,15
ILOC40300203,20,74,98,0,22,18,0,8,9,23,103,123
ILOC40300204,12,12,29,20,0,25,8,0,9,42,13,59
ILOC40300301,181,3902,4081,116,1019,1133,12,136,150,310,5054,5364
ILOC49499494,0,0,0,0,0,0,0,0,0,0,0,0
ILOC49799797,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50100101,181,668,844,160,135,296,32,33,70,375,835,1208
ILOC50100102,161,1212,1374,56,117,166,8,35,45,226,1356,1585
ILOC50100103,33,4,36,26,3,28,3,0,3,58,9,70
ILOC50100104,230,1187,1413,120,140,258,17,34,51,368,1358,1721
ILOC50100201,63,0,63,12,0,12,8,15,17,82,15,100
ILOC50100202,33,3,39,37,0,37,0,3,7,69,11,80
ILOC50100203,82,24,104,45,3,45,0,0,3,130,27,156
ILOC50100206,28,71,101,51,14,72,9,19,29,97,112,204
ILOC50200101,152,1081,1227,123,278,401,28,64,94,300,1422,1722
ILOC50200102,0,0,0,42,0,42,0,0,0,38,0,38
ILOC50200201,19,100,121,28,30,65,3,9,10,53,147,197
ILOC50200202,9,82,97,15,24,39,3,3,7,31,114,143
ILOC50200301,19,516,535,6,119,124,0,22,23,23,656,683
ILOC50200302,12,141,156,27,32,67,4,6,7,43,184,231
ILOC50200303,39,905,944,26,281,304,3,43,43,63,1231,1291
ILOC50200401,229,2162,2390,184,670,855,34,97,129,452,2923,3372
ILOC50200402,175,2138,2316,43,280,319,10,54,63,228,2469,2693
ILOC50200403,176,2191,2370,126,420,545,21,50,67,319,2659,2978
ILOC50200404,163,3311,3480,65,559,621,10,101,111,243,3971,4210
ILOC50200501,93,2132,2226,56,525,581,12,71,83,163,2727,2889
ILOC50200601,0,8,7,3,3,7,0,0,0,11,11,17
ILOC50200602,24,90,111,57,14,74,6,4,10,89,117,203
ILOC50200701,3,6,3,19,5,23,0,0,0,23,7,34
ILOC50200702,26,337,370,14,81,100,5,31,35,46,452,501
ILOC50300101,111,2824,2935,53,658,715,16,118,134,176,3601,3779
ILOC50300102,42,1324,1362,10,232,242,3,46,48,51,1602,1653
ILOC50300201,36,181,209,30,59,89,0,14,16,62,252,317
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,5
ILOC50300203,0,41,41,3,14,14,4,20,23,7,75,76
ILOC50300204,36,670,713,16,107,115,3,15,18,50,790,846
ILOC50300205,17,0,18,4,0,4,0,0,0,23,0,24
ILOC50300206,16,136,148,15,78,89,0,19,18,31,227,264
ILOC50300301,416,7763,8180,244,1231,1478,30,219,251,692,9213,9909
ILOC50300302,3,3,4,9,0,9,0,0,3,12,0,13
ILOC50300401,5,3,9,16,0,12,0,0,0,18,3,25
ILOC50300402,10,3,12,19,0,20,3,0,3,34,8,40
ILOC50300403,8,6,11,10,0,10,6,3,8,22,7,30
ILOC50300404,12,86,93,50,17,66,5,9,12,61,115,179
